index,Rk,Player,Pos,Tm,Cap Hit
0,1.0,Kirk Cousins,QB,WAS,23943600.0
1,2.0,Trumaine Johnson,CB,LAR,16742400.0
2,3.0,Josh Norman,CB,WAS,16500000.0
3,,Von Miller,LB,DEN,16500000.0
4,5.0,Justin Houston,LB,KAN,16350000.0
5,6.0,Matt Ryan,QB,ATL,15750000.0
6,7.0,Carson Palmer,QB,ARI,15500000.0
7,8.0,Muhammad Wilkerson,DT,NYJ,14750000.0
8,9.0,Sam Bradford,QB,MIN,14000000.0
9,10.0,Malik Jackson,DT,JAX,13500000.0
10,11.0,Gerald McCoy,DT,TAM,13250000.0
11,12.0,Cam Newton,QB,CAR,13166666.0
12,13.0,Andy Dalton,QB,CIN,13100000.0
13,14.0,Eli Manning,QB,NYG,13000000.0
14,,Drew Brees,QB,NOR,13000000.0
15,,Dez Bryant,WR,DAL,13000000.0
16,17.0,Janoris Jenkins,CB,NYG,12900000.0
17,18.0,Ezekiel Ansah,DE,DET,12734000.0
18,19.0,Russell Wilson,QB,SEA,12600000.0
19,20.0,Aaron Rodgers,QB,GNB,12550000.0
20,21.0,Le'Veon Bell,RB,PIT,12120000.0
21,22.0,Ben Roethlisberger,QB,PIT,12000000.0
22,23.0,Olivier Vernon,DE,NYG,11750000.0
23,24.0,Julio Jones,WR,ATL,11500000.0
24,25.0,Richard Sherman,DB,SEA,11431000.0
25,26.0,Trent Williams,T,WAS,11250000.0
26,27.0,Larry Fitzgerald,WR,ARI,11000000.0
27,,Aqib Talib,DB,DEN,11000000.0
28,,Philip Rivers,QB,LAC,11000000.0
29,30.0,Alex Smith,QB,KAN,10800000.0
30,31.0,J.J. Watt,DE,HOU,10500000.0
31,32.0,A.J. Green,WR,CIN,10300000.0
32,33.0,Clay Matthews,LB,GNB,10100000.0
33,34.0,Ndamukong Suh,DT,MIA,9985000.0
34,35.0,Patrick Peterson,CB,ARI,9750000.0
35,,Marcell Dareus,DT,2TM,9750000.0
36,37.0,Duane Brown,G,2TM,9400000.0
37,38.0,Vontae Davis,DB,IND,9000000.0
38,,Calais Campbell,DE,JAX,9000000.0
39,,Cordy Glenn,T,BUF,9000000.0
40,41.0,Justin Pugh,OG,NYG,8821000.0
41,42.0,Joe Thomas,T,CLE,8800000.0
42,43.0,Damon Harrison,DT,NYG,8750000.0
43,44.0,Randall Cobb,WR,GNB,8600000.0
44,45.0,Byron Maxwell,DB,2TM,8500000.0
45,,Demaryius Thomas,WR,DEN,8500000.0
46,,Earl Thomas,DB,SEA,8500000.0
47,48.0,Alec Ogletree,OLB,LAR,8369000.0
48,49.0,Jordy Nelson,WR,GNB,8250000.0
49,,Ryan Kerrigan,DE,WAS,8250000.0
50,,Joe Staley,T,SFO,8250000.0
51,52.0,Sheldon Richardson,DT,SEA,8069000.0
52,53.0,Xavier Rhodes,CB,MIN,8026000.0
53,54.0,Corey Liuget,DT,LAC,8000000.0
54,,T.Y. Hilton,WR,IND,8000000.0
55,,Mike Glennon,QB,CHI,8000000.0
56,,DeAndre Hopkins,WR,HOU,8000000.0
57,,Mike Iupati,G,ARI,8000000.0
58,59.0,Mike Pouncey,OL,MIA,7950000.0
59,60.0,Jimmy Graham,TE,SEA,7900000.0
60,61.0,Lane Johnson,OT,PHI,7750000.0
61,62.0,Maurkice Pouncey,C,PIT,7500000.0
62,,Andrew Whitworth,T,LAR,7500000.0
63,,Tyrod Taylor,QB,BUF,7500000.0
64,,Dontari Poe,DT,ATL,7500000.0
65,66.0,Jason Witten,TE,DAL,7400000.0
66,,Chris Harris,CB,DEN,7400000.0
67,68.0,Luke Kuechly,ILB,CAR,7363324.0
68,69.0,Geno Atkins,DT,CIN,7300000.0
69,70.0,Tyrone Crawford,DE,DAL,7250000.0
70,71.0,Vinny Curry,DE,PHI,7000000.0
71,,Akiem Hicks,DE,CHI,7000000.0
72,,Allen Hurns,WR,JAX,7000000.0
73,,Chandler Jones,DE,ARI,7000000.0
74,,Marvin Jones,WR,DET,7000000.0
75,,Cameron Jordan,DE,NOR,7000000.0
76,77.0,Dominique Rodgers-Cromartie,DB,NYG,6980000.0
77,78.0,Pernell McPhee,DL,CHI,6950000.0
78,79.0,Cameron Wake,LB,MIA,6875000.0
79,80.0,Eric Fisher,OT,KAN,6857977.0
80,81.0,Star Lotulelei,DT,CAR,6757000.0
81,82.0,Emmanuel Sanders,WR,DEN,6750000.0
82,83.0,Kelechi Osemele,T,OAK,6700000.0
83,84.0,Bennie Logan,DT,KAN,6680000.0
84,85.0,Vontaze Burfict,LB,CIN,6535529.0
85,86.0,Jared Veldheer,T,ARI,6500000.0
86,,Jermey Parnell,T,JAX,6500000.0
87,,Rodney Hudson,OL,OAK,6500000.0
88,,Michael Bennett,DE,SEA,6500000.0
89,,Brandon Graham,DE,PHI,6500000.0
90,,Nate Solder,T,NWE,6500000.0
91,,Johnathan Joseph,DB,HOU,6500000.0
92,,Kareem Jackson,DB,HOU,6500000.0
93,,Devin McCourty,DB,NWE,6500000.0
94,,Greg Olsen,TE,CAR,6500000.0
95,,DeSean Jackson,WR,TAM,6500000.0
96,97.0,Kyle Williams,DT,BUF,6300000.0
97,98.0,Kyle Long,OT,CHI,6250000.0
98,,DeMarco Murray,RB,TEN,6250000.0
99,,Michael Crabtree,WR,OAK,6250000.0
100,101.0,Brian Orakpo,LB,TEN,6200000.0
101,,Riley Reiff,OT,MIN,6200000.0
102,103.0,Robert Quinn,DE,LAR,6161616.0
103,104.0,Adam Jones,DB,CIN,6023529.0
104,105.0,Kawann Short,DT,CAR,6000000.0
105,,Kevin Zeitler,G,CLE,6000000.0
106,,Marshal Yanda,T,BAL,6000000.0
107,,Derrick Morgan,DE,TEN,6000000.0
108,,Buster Skrine,DB,NYJ,6000000.0
109,,Lavonte David,OLB,TAM,6000000.0
110,,Brent Grimes,DB,TAM,6000000.0
111,,Golden Tate,WR,DET,6000000.0
112,,Mohamed Sanu,WR,ATL,6000000.0
113,,Darian Stewart,DB,DEN,6000000.0
114,,Malcolm Jenkins,DB,PHI,6000000.0
115,,LeSean McCoy,RB,BUF,6000000.0
116,,Joe Flacco,QB,BAL,6000000.0
